id|name|parent|tie_line|address|mail_code|phone_type|phone_number
273610|MORNINGSIDE CAMPUS   99 OR|273609|MS* 4-5555|||OFFICE|212-854-5555
273611|HEALTH SCIENCES CAMPUS|273609|MC* 5-7979|||OFFICE|212-305-7979
273613|FAX|273612|MS* 4-7260|||FAX|212-854-7260
273662|FAX|273661|MS* 4-7670|||FAX|212-854-7670
273666|AMERICAN LANGUAGE PROGRAM|273665|MS* 4-3584||4113|OFFICE|212-854-3584
273667|Architecture, planning and Preservation|273665|||0330|OFFICE|212-854-3510
273670|Arts, The|273665|MS* 4-2134||1808|OFFICE|212-854-2134
273671|Berlin Consosrtium|273665|MS* 4-2559||4119|OFFICE|212-854-2559
273672|Business|273665|MS* 4-1961||5910|OFFICE|212-854-1961
273674|Columbia College|273665|MS* 4-2521||2807|OFFICE|212-854-2521
273676|Continuing Education|273665|MS* 4- 9666||4119|OFFICE|212-854-9666
273681|Dental and Oral Surgery|273665|MC* 5-3478|||OFFICE|212-305-3478
273683|Engineering and Applied Science|273665|||||
273686|General Studies|273665|MS* 4-2772||4101|OFFICE|212-854-2772
273689|Graduate School of Arts & Sciences|273665|MS* 4-8903||4304|OFFICE|212-854-8903
273691|Institute of Human Nutrition|273665|MC* 5-4808|||OFFICE|212-305-4808
273694|International and Public Affairs|273665|MS* 4-6216||3325|OFFICE|212-854-6216
273696|Admissions|276281|MS* 4-8608||3808|OFFICE|212-854-8608
273697|Law|273665|MS* 4-2670||4004|OFFICE|212-854-2670
273698|Liberal Studies Master of Arts Program|273665|MS* 4-4737||4304|OFFICE|212-854-4737
273700|Nursing|273665|MC* 5-5756|||OFFICE|212-305-5756
273702|Physical and Occupational Therapy|273665|MC* 5-3781|||OFFICE|212-305-3781
273703|Physicians and Surgeons|273665|MC* 5-3595|||OFFICE|212-305-3595
273705|Public Health|273665|MC* 5-3927|||OFFICE|212-305-3927
273706|Reid Hall Programs|273665|MS* 4-2559||4119|OFFICE|212-854-2559
273707|Social Work|273665|MS* 1-2400|||OFFICE|212-851-2400
273708|Special Students Program|273665|MS* 4- 9666||4119|OFFICE|212-854-9666
273709|Summer Session|273665|MS* 4- 9666||4114|OFFICE|212-854-9666
273717|FAX|273716|MS* 4-1368|||FAX|212-854-1368
273719|FAX|273718|MS* 4-7060|||FAX|212-854-7060
273720|DIRECTOR|273718|MS* 4-7002|||OFFICE|212-854-7002
273721|ASSISTANT TO THE DIRECTOR|273718|MS* 4-7010|||OFFICE|212-854-7010
273727|INFORMATION|273726|MS* 4-2468|||OFFICE|212-854-2468
273735|Architecture|273732|MS* 4-9543||0330|OFFICE|212-854-9543
273739|BUSINESS|273732|MS* 4-8815||9136|OFFICE|212-854-8815
273741|COLUMBIA COLLEGE|273732|MS1* 7800||4520|OFFICE|212-851-7800
273743|DENTAL AND ORAL SURGERY|273732|MC* 5-6881|||OFFICE|212-305-6881
273746|ENGINEERING|273732|MS* 4-4472||4718|OFFICE|212-854-4472
273748|GENERAL STUDIES|273732|MS* 4-8498||4121|OFFICE|212-854-8498
273750|GRADUATE SCHOOL OF ARTS AND SCIENCES|273732|MS* 1-2177||4306|OFFICE|212-851-2177
273752|INTERNATIONAL AND PUBLIC AFFAIRS|273732|MS* 4-8671||3328|OFFICE|212-854-8671
273756|LAW|273732|MS* 4-8241||4003|OFFICE|212-854-8241
273760|LIBRARY SERVICE|273732|MS* 4-4746||1103|OFFICE|212-854-4746
273761|NURSING|273732|MC* 5-3742|||OFFICE|212-305-3743
273764|PHARMACY|273732|MC* 5-6083|||OFFICE|212-305-6083
273765|PHYSICIANS AND SURGEONS|273732|MC* 5- 1472|||OFFICE|212-305-1472
273767|MAILMAN SCHOOL OF PUBLIC HEALTH|273732|MC* 5-6083|||OFFICE|212-305-6083
273769|SOCIAL WORK|273732|MS* 1-2375|||OFFICE|212-851-2375
273777|FAX|273776|MS* 4-0012|||FAX|212-854-0012
273781|MORNINGSIDE CAMPUS   99 OR|273780|MS* 4-5555|||OFFICE|212-854-5555
273782|MEDICAL CENTER|273780|MC* 5-7979|||OFFICE|212-305-7979
273785|FAX|273784||||FAX|212-870-3555
